,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率Tariff rate,単位Unit,単位Unit,他法令Law
44,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
45,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
46,,20.0,*〔1〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格以下のもの,,361円/kg,(361円/kg),,,,,,,,,,,,,,,,関税割当数量以内のもの　(401.65円/kg-課税価格/kg)又は361円/kgのうちいずれか低い税率,,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,FDAN
47,,,*〔2〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格を超え、枝肉に係る分岐点価格以下のもの,,1キログラムにつき枝肉に係る基準輸入価格と課税価格との差額,(361円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
48,,31.0,－ 課税価格が1キログラムにつき、299円25銭未満のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,
49,,32.0,－ 課税価格が1キログラムにつき、299円25銭以上のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,
50,,40.0,*〔3〕課税価格が1キログラムにつき、枝肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,,関税割当数量以内のもの　(401.65円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,1.7%,1.7%,1.7%,,KG,FDAN
51,203.22,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
53,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
54,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,FDAN
55,,,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
56,,24.0,－ 課税価格が1キログラムにつき、399円未満のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
57,,25.0,－ 課税価格が1キログラムにつき、399円以上のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
58,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,1.7%,1.7%,1.7%,,KG,FDAN
59,203.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
61,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
62,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,FDAN
63,,,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
64,,24.0,－ 課税価格が1キログラムにつき、399円未満のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
65,,25.0,－ 課税価格が1キログラムにつき、399円以上のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
66,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,1.7%,1.7%,1.7%,,KG,FDAN
67,2.04,,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
68,204.1,0.0,子羊の枝肉及び半丸枝肉（生鮮のもの及び冷蔵したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
69,,,その他の羊の肉（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
70,204.21,0.0,枝肉及び半丸枝肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
71,204.22,0.0,その他の骨付き肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
72,204.23,0.0,骨付きでない肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
73,204.3,0.0,子羊の枝肉及び半丸枝肉（冷凍したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
74,,,その他の羊の肉（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
75,204.41,0.0,枝肉及び半丸枝肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
76,204.42,0.0,その他の骨付き肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
77,204.43,0.0,骨付きでない肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
78,204.5,0.0,やぎの肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
79,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,205.0,0.0,馬、ろ馬、ら馬又はヒニーの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
81,2.06,,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
82,206.1,,牛のもの（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,20.0,1 ほほ肉及び頭肉,50%,,(50%),,無税,,,,,,,,50%,,,,,,関税割当数量以内のもの　30%,,34.7%,34.8%,34.7%,,KG,FDAN
84,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,(1)臓器及び舌,15%,,12.8%,,無税,,,,,,,,,,,,,,,,,,,,,
86,,11.0,－ 舌,,,,,,,関税割当数量以内のもの　7.6%,,,,,,12.8%,,,,,,関税割当数量以内のもの　7.6%,,5.1%,5.1%,5.1%,,KG,FDAN
87,,19.0,－ その他のもの,,,,,,,関税割当数量以内のもの　7.6%,,,,,,12.8%,,,,,,関税割当数量以内のもの　7.6%,,5.3%,5.3%,5.3%,,KG,FDAN
88,,90.0,(2)その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,,関税割当数量以内のもの　12.7%,,17.3%,17.3%,,,KG,FDAN
89,,,牛のもの（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
90,206.21,0.0,舌,15%,,12.8%,,無税,,関税割当数量以内のもの　7.6%,,関税割当数量以内のもの　7.6%,,,,12.8%,,,,,,関税割当数量以内のもの　7.6%,,5.1%,5.1%,5.1%,,KG,FDAN
91,206.22,0.0,肝臓,15%,,12.8%,,無税,,関税割当数量以内のもの　11.5%,,関税割当数量以内のもの　7.6%,,,,12.8%,,,,,,関税割当数量以内のもの　7.6%,,10.4%,10.4%,10.4%,,KG,FDAN
92,206.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,20.0,1 ほほ肉及び頭肉,50%,,(50%),,無税,,関税割当数量以内のもの　30%,,,,,,50%,,,,,,関税割当数量以内のもの　30%,,34.7%,34.8%,34.7%,,KG,FDAN
94,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,10.0,(1)臓器,15%,,12.8%,,無税,,関税割当数量以内のもの　7.6%,,関税割当数量以内のもの　7.6%,,,,12.8%,,,,,,関税割当数量以内のもの　7.6%,,5.3%,5.3%,5.3%,,KG,FDAN
96,,90.0,(2)その他のもの,25%,,21.3%,,無税,,関税割当数量以内のもの　19.1%,,関税割当数量以内のもの　12.7%,,,,21.3%,,,,,,関税割当数量以内のもの　12.7%,,17.3%,17.3%,17.3%,,KG,FDAN
97,206.3,,豚のもの（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
99,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,91.0,(1)臓器,10%,,8.5%,4.3%,無税,,,,,,,,8.5%,,,,,,,,6.1%,6.2%,6.1%,,KG,FDAN
101,,,(2)その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
102,,93.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,,,,,,,,,,,,,,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,FDAN
103,,,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
104,,94.0,－ 課税価格が1キログラムにつき、399円未満のもの,,,,,,,,,,,,,,,,,,,,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
105,,95.0,－ 課税価格が1キログラムにつき、399円以上のもの,,,,,,,,,,,,,,,,,,,,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
106,,99.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,,,,1.7%,1.7%,1.7%,,KG,FDAN
107,,,豚のもの（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
108,206.41,,肝臓,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
110,,90.0,2 その他のもの,10%,,8.5%,4.3%,無税,,,,,,,,8.5%,,,,,,,,6.1%,6.2%,6.1%,,KG,FDAN
111,206.49,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
113,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,91.0,(1)臓器,10%,,8.5%,4.3%,無税,,4.3%,,,,,,8.5%,,,,,,関税割当数量以内のもの　4.3%,,3%,3.1%,3%,,KG,FDAN
115,,,(2)その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
116,,93.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,,,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,FDAN
117,,,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
118,,94.0,－ 課税価格が1キログラムにつき、399円未満のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,,,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
