,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA)
103,,92.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,,,KG,,
104,,99.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,,,KG,,
105,206.8,0.0,その他のもの（生鮮のもの及び冷蔵したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
106,206.9,0.0,その他のもの（冷凍したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
107,2.07,,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
108,,,鶏（ガルルス・ドメスティクス）のもの,,,,,,,,,,,,,,,,,,,,,,
109,207.11,0.0,分割してないもの（生鮮のもの及び冷蔵したものに限る。）,14%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 7.1%,,,,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,附属書1第2編第1節注釈2（g）（i）（A）に定める関税割当数量以内のもの 10.7%,,KG,,
110,207.12,0.0,分割してないもの（冷凍したものに限る。）,14%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 7.1%,,,8.5%,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,附属書1第2編第1節注釈2（g）（i）（A）に定める関税割当数量以内のもの 10.7%,,KG,,
111,207.13,,分割したもの及びくずのもの（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
112,,100.0,1 骨付きのもも,20%,,8.5%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 5.1%,,,,,,8.5%,,,,,附属書1第2編第1節注釈2（g）（i）（A）に定める関税割当数量以内のもの 7.6%,,KG,,
113,,200.0,2 その他のもの,12%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 7.1%,,,8.5%,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,,,KG,,
114,207.14,,分割したもの及びくずのもの（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
115,,100.0,1 肝臓,10%,,3%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
116,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
117,,210.0,(1)骨付きのもも,20%,,8.5%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 5.1%,,,,,,8.5%,,,,,附属書1第2編第1節注釈2（g）（i）（A）に定める関税割当数量以内のもの 6.8%,,KG,,
118,,220.0,(2)その他のもの,12%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 7.1%,,附属書1第2部第1節注釈5に定める関税割当数量以内のもの 8.5%,8.5%,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,附属書1第2編第1節注釈2（g）（i）（A）に定める関税割当数量以内のもの 8.5%,,KG,,
119,,,七面鳥のもの,,,,,,,,,,,,,,,,,,,,,,
120,207.24,0.0,分割してないもの（生鮮のもの及び冷蔵したものに限る。）,5%,,3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
121,207.25,0.0,分割してないもの（冷凍したものに限る。）,5%,,3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
122,207.26,0.0,分割したもの及びくずのもの（生鮮のもの及び冷蔵したものに限る。）,5%,,3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
123,207.27,,分割したもの及びくずのもの（冷凍したものに限る。）,,,3%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
124,,100.0,1 肝臓,10%,,,無税,,,,,,,,,,,,,,,,KG,,
125,,200.0,2 その他のもの,5%,,,無税,,,無税,,,,,,,,,,,,,KG,,
126,,,あひるのもの,,,,,,,,,,,,,,,,,,,,,,
127,207.41,0.0,分割してないもの（生鮮のもの及び冷蔵したものに限る。）,10%,,9.6%,,無税,1.2%,,無税,1.2%,1.2%,2.4%,2.4%,2.4%,無税,5.2%,5.2%,7.0%,7.0%,,KG,,
128,207.42,0.0,分割してないもの（冷凍したものに限る。）,10%,,9.6%,4.8%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
129,207.43,0.0,脂肪質の肝臓（生鮮のもの及び冷蔵したものに限る。）,5%,,3%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
130,207.44,0.0,その他のもの（生鮮のもの及び冷蔵したものに限る。）,10%,,9.6%,,無税,1.2%,,無税,1.2%,1.2%,2.4%,2.4%,2.4%,2.4%,5.2%,3.6%,7.0%,7.0%,,KG,,
131,207.45,,その他のもの（冷凍したものに限る。）,10%,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
132,,10.0,－ 肝臓,,,3%,無税,,,,,,,,,,,,,,,,KG,,
133,,90.0,－ その他のもの,,,9.6%,4.8%,無税,,,,,,,,,,,,,,,KG,,
134,,,がちようのもの,,,,,,,,,,,,,,,,,,,,,,
135,207.51,0.0,分割してないもの（生鮮のもの及び冷蔵したものに限る。）,12.5%,,9.6%,4.8%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
136,207.52,0.0,分割してないもの（冷凍したものに限る。）,12.5%,,9.6%,4.8%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
137,207.53,0.0,脂肪質の肝臓（生鮮のもの及び冷蔵したものに限る。）,5%,,3%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
138,207.54,0.0,その他のもの（生鮮のもの及び冷蔵したものに限る。）,12.5%,,9.6%,4.8%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
139,207.55,,その他のもの（冷凍したものに限る。）,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
140,,100.0,1 肝臓,10%,,3%,無税,,,,,,,,,,,,,,,,KG,,
141,,200.0,2 その他のもの,12.5%,,9.6%,4.8%,無税,,,,,,,,,,,,,,,KG,,
142,207.6,,ほろほろ鳥のもの,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
143,,100.0,1 肝臓（冷凍したものに限る。）,10%,,3%,無税,,,,,,,,,,,,,,,,KG,,
144,,200.0,2 その他のもの,12.5%,,9.6%,4.8%,無税,,,,,,,,,,,,,,,KG,,
145,2.08,,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
146,208.1,0.0,うさぎのもの,無税,,(無税),,,,,,,,,,,,,,,,,KG,,
147,208.3,0.0,霊長類のもの,無税,,(無税),,,,,,,,,,,,,,,,,KG,,
148,208.4,,くじら目のもの、海牛目のもの及び鰭脚下目のもの,無税,,,,,,,,,,,,,,,,,,,,,
149,,11.0,－ くじらのもの,,,(無税),,,,,,,,,,,,,,,,,KG,,
150,,,－ その他のもの,,,(無税),,,,,,,,,,,,,,,,,,,
151,,91.0,－－ 海牛目のもの,,,,,,,,,,,,,,,,,,,,KG,,
152,,99.0,－－ その他のもの,,,,,,,,,,,,,,,,,,,,KG,,
153,208.5,0.0,爬虫類のもの,無税,,(無税),,,,,,,,,,,,,,,,,KG,,
154,208.6,0.0,らくだ科のもの,無税,,(無税),,,,,,,,,,,,,,,,,KG,,
155,208.9,,その他のもの,無税,,,,,,,,,,,,,,,,,,,,,
156,,10.0,－ かえるの脚,,,(無税),,,,,,,,,,,,,,,,,KG,,
157,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,,,,KG,,
158,2.09,,家きんの脂肪及び豚の筋肉層のない脂肪（溶出その他の方法で抽出してないもので、生鮮のもの及び冷蔵し、冷凍し、塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
159,209.1,0.0,豚のもの,10%,,6%,3%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
160,209.9,0.0,その他のもの,10%,,6%,3%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
161,2.1,,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,,,,,,,,,,,,,,,,,,,,,,
162,,,豚の肉,,,,,,,,,,,,,,,,,,,,,,
163,210.11,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,(10%),,,,無税,,※２,,,,,,,,,,,,,,,
164,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格（豚肉加工品に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第4項第1号に定める価格をいう。以下この項及び第16.02項において同じ。）を、当該区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔2〕に定める率（例えば、9.8％の場合は0.098）に0.6を加えた数で除し、これに1.5を乗じて得た価格をいう。以下この項及び第16.02項において同じ。）以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,,,KG,,
165,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,,,KG,,
166,210.12,,ばら肉及びこれを分割したもの,(10%),,,,無税,,※２,,,,,,,,,,,,,,,
167,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,,,KG,,
168,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,,,KG,,
169,210.19,,その他のもの,(10%),,,,無税,,※２,,,,,,,,,,,,,,,
170,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,,,KG,,
171,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,,,KG,,
172,210.2,0.0,牛の肉,190円/kg,,161.50円/kg,,無税,,,,,,,,,,附属書1付録1第1節　2-(Qa)-(i)に定める関税割当数量以内のもの 80.75円/kg,,,,,KG,,
173,,,その他のもの（肉又はくず肉の食用の粉及びミールを含む。）,,,,,,,,,,,,,,,,,,,,,,
174,210.91,0.0,霊長類のもの,7%,,4.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
175,210.92,,くじら目のもの、海牛目のもの及び鰭脚下目のもの,7%,,4.2%,,無税,,,,,,,,,,,,,,,,,
176,,10.0,－ くじら目のもの及び海牛目のもの,,,,,,無税,,無税,無税,0.5%,無税,無税,1.1%,無税,2.3%,2.3%,3.1%,2.1%,,KG,,
177,,90.0,－ その他のもの,,,,,,,無税,,,,,,4.2%,,,,,,,KG,,
178,210.93,0.0,爬虫類のもの,7%,,4.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
179,210.99,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
180,,,1 豚のもの,(10%),,,,無税,,,,,,,,,,,,,,,,,
181,,11.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,,,KG,,
182,,19.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,,,KG,,
183,,20.0,2 牛のもの,190円/kg,,161.50円/kg,,無税,,,,,,,,,,,,,,,KG,,
184,,90.0,3 その他のもの,7%,,4.2%,,無税,,無税,,,,,,4.2%,,,,,,,KG,,
0,3.01,,魚（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,
1,,,観賞用の魚,,,,,,,無税,,,無税,,,,無税,,,,,,,,
2,301.11,,淡水魚,,,,,,,,,,,,,,,,,,,,,,
3,,100.0,1 こい（キュプリヌス属のもの）及び金魚（カラシウス・アウラトゥス）,5%,,3.5%,,無税,無税,,無税,無税,,無税,無税,無税,,1.9%,0.6%,2.2%,1.8%,NO,KG,,
4,,200.0,2 その他のもの,2.5%,,1.7%,無税,,無税,,無税,無税,,無税,無税,無税,,無税,無税,無税,無税,NO,KG,,
5,301.19,0.0,その他のもの,2.5%,,1.7%,無税,,無税,,無税,無税,,無税,無税,無税,,無税,無税,無税,無税,NO,KG,,
6,,,その他の魚（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,
7,301.91,,ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）,,,,,,,無税,,,,,,,,,,,,,,,
8,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
9,,200.0,2 その他のもの,5%,,3.5%,,無税,無税,,無税,無税,0.4%,無税,無税,0.9%,無税,1.9%,1.9%,2.5%,1.8%,,KG,,
10,301.92,,うなぎ（アングイルラ属のもの）,,,,,,,,,,,,,,,,,,,,,,
11,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
12,,200.0,2 その他のもの,5%,,3.5%,,無税,,,,,,,,3.5%,無税,,,,1.8%,,KG,,
13,301.93,,こい（キュプリヌス・カルピオ、カラシウス・カラシウス、クテノファリュンゴドン・イデルルス、ミュロファリュンゴドン・ピケウス及びヒュポフタルミクテュス属又はキルリヌス属のもの）,,,,,,,無税,,,,,,,,,,,,,,,
14,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
15,,200.0,2 その他のもの,5%,,3.5%,,無税,無税,,無税,無税,0.4%,無税,無税,0.9%,無税,1.9%,1.9%,2.5%,1.8%,,KG,,
16,301.94,,くろまぐろ（トゥヌス・ティヌス及びトゥヌス・オリエンタリス）,,,,,,,,,,,,,,,,,,,,,,
17,,,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
18,,110.0,－ くろまぐろ（トゥヌス・ティヌス）,,,,,,,,,,,,,,,,,,,,KG,,
19,,120.0,－ くろまぐろ（トゥヌス・オリエンタリス）,,,,,,,,,,,,,,,,,,,,KG,,
20,,,2 その他のもの,5%,,3.5%,,無税,,無税,,,無税,,,3.5%,無税,,,,,,,,
21,,210.0,－ くろまぐろ（トゥヌス・ティヌス）,,,,,,,,,,,,,,,,,,,,KG,,
22,,220.0,－ くろまぐろ（トゥヌス・オリエンタリス）,,,,,,,,,,,,,,,,,,,,KG,,
23,301.95,,みなみまぐろ（トゥヌス・マッコイイ）,,,,,,,,,,,,,,,,,,,,,,
24,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG,,
25,,900.0,2 その他のもの,5%,,3.5%,,無税,,無税,,,無税,,,3.5%,無税,,,,,,KG,,
26,301.99,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
27,,,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,
28,,,－ ぶり（セリオーラ属のもの）,,,,,,,,,,,,,,,,,,,,,,
29,,111.0,－－ ぶり（セリオーラ・クインクエラディアータ）,,,,,,,,,,,,,,,,,,,,KG,,
30,,119.0,－－ その他のもの,,,,,,,,,,,,,,,,,,,,KG,,
31,,120.0,－ こい,,,,,,,,,,,,,,,,,,,,KG,,
32,,190.0,－ その他のもの,,,,,,,,,,,,,,,,,,,,KG,,
33,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
34,,210.0,(1)にしん（クルペア属のもの）、たら（ガドゥス属、テラグラ属又はメルルシウス属のもの）、ぶり（セリオーラ属のもの）、さば（スコムベル属のもの）、いわし（エトルメウス属、サルディノプス属又はエングラウリス属のもの）、あじ（トラクルス属又はデカプテルス属のもの）及びさんま（コロラビス属のもの）,10%,,,,,,,,,,,,,,,,,,,KG,,
35,,,(2)その他のもの,5%,,3.5%,,無税,,無税,,,,,,,無税,,,,,,,,
36,,220.0,－ひらめ（パラリクティス属のもの）,,,,,,,,,,無税,,,3.5%,,,,,,,KG,,
37,,230.0,－ こい,,,,,,無税,,無税,無税,0.4%,無税,無税,0.9%,,1.9%,1.9%,2.5%,1.8%,,KG,,
38,,290.0,－その他のもの,,,,,,,,,,無税,,,3.5%,,,,,,,KG,,
39,3.02,,魚（生鮮のもの及び冷蔵したものに限るものとし、第03.04項の魚のフィレその他の魚肉を除く。）,,,,,,,,,,,,,,,,,,,,,,
40,,,さけ科のもの（肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,,,,,
41,302.11,0.0,ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）,5%,,3.5%,,無税,,,,1.3%,,,,3.5%,,,,,,,KG,,
42,302.13,,太平洋さけ（オンコルヒュンクス・ネルカ、オンコルヒュンクス・ゴルブスカ、オンコルヒュンクス・ケタ、オンコルヒュンクス・トスカウィトスカ、オンコルヒュンクス・キストク、オンコルヒュンクス・マソウ及びオンコルヒュンクス・ロデュルス）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,,,,,
43,,11.0,－ べにざけ（オンコルヒュンクス・ネルカ）,,,,,,,,,,,,,,,,,,,,KG,,
44,,12.0,－ ぎんざけ（オンコルヒュンクス・キストク）,,,,,,,,,1.3%,,,,,,,,,,,KG,,
45,,19.0,－ その他のもの,,,,,,,,,,,,,,,,,,,,KG,,
46,302.14,0.0,大西洋さけ（サルモ・サラル）及びドナウさけ（フコ・フコ）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,,,KG,,
47,302.19,0.0,その他のもの,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,,,KG,,
48,,,ひらめ・かれい類（かれい科、だるまがれい科、うしのした科、ささうしのした科、スコフタルムス科又はこけびらめ科のもの。肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,,,,,
49,302.21,0.0,ハリバット（レインハルドティウス・ヒポグロソイデス、ヒポグロスス・ヒポグロスス及びヒポグロスス・ステノレピス）,5%,,3.5%,,無税,無税,無税,無税,無税,0.4%,無税,無税,1.6%,無税,,1.9%,2.5%,1.8%,,KG,,
50,302.22,0.0,プレイス（プレウロネクテス・プラテスサ）,5%,,3.5%,,無税,無税,無税,無税,無税,0.4%,無税,無税,1.6%,無税,,1.9%,2.5%,1.8%,,KG,,
