,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
127,207.32,,分割してないもの（生鮮のもの及び冷蔵したものに限る。）,,,9.6%,,,,,,,,,,,無税,,,,
128,,100.0,1 あひるのもの,10%,,,,無税,4.8%,,3.6%,4.8%,4.8%,6.0%,6.0%,6.0%,,7.9%,7.9%,,KG
129,,200.0,2 その他のもの,12.5%,,,4.8%,無税,無税,,無税,無税,無税,無税,無税,無税,,無税,無税,,KG
130,207.33,,分割してないもの（冷凍したものに限る。）,,,9.6%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
131,,100.0,1 あひるのもの,10%,,,4.8%,無税,,,,,,,,,,,,,KG
132,,200.0,2 その他のもの,12.5%,,,4.8%,無税,,,,,,,,,,,,,KG
133,207.34,0.0,脂肪質の肝臓（生鮮のもの及び冷蔵したものに限る。）,5%,,3%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
134,207.35,,その他のもの（生鮮のもの及び冷蔵したものに限る。）,,,9.6%,,,,,,,,,,,,,,,
135,,100.0,1 あひるのもの,10%,,,,無税,4.8%,,3.6%,4.8%,4.8%,6.0%,6.0%,6.0%,6.0%,7.9%,7.2%,,KG
136,,200.0,2 その他のもの,12.5%,,,4.8%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
137,207.36,,その他のもの（冷凍したものに限る。）,,,,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
138,,100.0,1 肝臓,10%,,3%,無税,,,,,,,,,,,,,,KG
139,,,2 その他のもの,,,9.6%,,,,,,,,,,,,,,,
140,,210.0,(1)あひるのもの,10%,,,4.8%,無税,,,,,,,,,,,,,KG
141,,220.0,(2)その他のもの,12.5%,,,4.8%,無税,,,,,,,,,,,,,KG
142,2.08,,その他の肉及び食用のくず肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
143,208.1,0.0,うさぎのもの,無税,,(無税),,,,,,,,,,,,,,,KG
144,208.3,0.0,霊長類のもの,無税,,(無税),,,,,,,,,,,,,,,KG
145,208.4,,くじら目のもの及び海牛目のもの,無税,,,,,,,,,,,,,,,,,
146,,11.0,－ くじらのもの,,,(無税),,,,,,,,,,,,,,,KG
147,,19.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,,KG
148,208.5,0.0,爬虫類のもの,無税,,(無税),,,,,,,,,,,,,,,KG
149,208.9,,その他のもの,無税,,,,,,,,,,,,,,,,,
150,,10.0,－ かえるの脚,,,(無税),,,,,,,,,,,,,,,KG
151,,90.0,－ その他のもの,,,(無税),,,,,,,,,,,,,,,KG
152,2.09,,,,,,,,,,,,,,,,,,,,
153,209.0,0.0,家きんの脂肪及び豚の筋肉層のない脂肪（溶出その他の方法で抽出してないもので、生鮮のもの及び冷蔵し、冷凍し、塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）,10%,,6%,3%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
154,2.1,,肉及び食用のくず肉（塩蔵し、塩水漬けし、乾燥し又はくん製したものに限る。）並びに肉又はくず肉の食用の粉及びミール,,,,,,,,,,,,,,,,,,
155,,,豚の肉,,,,,,,,,,,,,,,,,,
156,210.11,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,(10%),,,,無税,,※２,,,,,,,,,,,
157,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格（豚肉加工品に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第4項第1号に定める価格をいう。以下この項及び第16.02項において同じ。）を、当該区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔2〕に定める率（例えば、9.8％の場合は0.098）に0.6を加えた数で除し、これに1.5を乗じて得た価格をいう。以下この項及び第16.02項において同じ。）以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,KG
158,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,KG
159,210.12,,ばら肉及びこれを分割したもの,(10%),,,,無税,,※２,,,,,,,,,,,
160,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,KG
161,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,KG
162,210.19,,その他のもの,(10%),,,,無税,,※２,,,,,,,,,,,
163,,10.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,KG
164,,20.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,KG
165,210.2,0.0,牛の肉,190円/kg,,161.50円/kg,,無税,,,,,,,,,,附属書1付録1第1節　2-(Qa)-(i)に定める関税割当数量以内のもの 80.75円/kg,,,KG
166,,,その他のもの（肉又はくず肉の食用の粉及びミールを含む。）,,,,,,,,,,,,,,,,,,
167,210.91,0.0,霊長類のもの,7%,,4.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
168,210.92,0.0,くじら目のもの及び海牛目のもの,7%,,4.2%,,無税,1.4%,,0.7%,1.4%,2.1%,2.1%,2.1%,2.6%,2.1%,3.4%,3.4%,,KG
169,210.93,0.0,爬虫類のもの,7%,,4.2%,,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
170,210.99,,その他のもの,,,,,,,,,,,,,,,,,,
171,,,1 豚のもの,(10%),,,,無税,,,,,,,,,,,,,
172,,11.0,*〔1〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格以下のもの,,1キログラムにつき豚肉加工品に係る基準輸入価格に1.5を乗じて得た額と課税価格に0.6を乗じて得た額との差額,"(1,035円/kg)",,,,,,,,,,,,,,,KG
173,,19.0,*〔2〕課税価格が1キログラムにつき、豚肉加工品に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,KG
174,,20.0,2 牛のもの,190円/kg,,161.50円/kg,,無税,,,,,,,,,,,,,KG
175,,90.0,3 その他のもの,7%,,4.2%,,無税,,無税,,,,,,4.2%,,,,,KG
0,3.01,,魚（生きているものに限る。）,,,,,,,,,,,,,,,,,,
1,301.1,,観賞用の魚,,,,,,,無税,,,無税,,,,無税,,,,
2,,10.0,1 こい及び金魚,5%,,3.5%,,無税,1.2%,,0.6%,1.2%,,1.8%,1.8%,1.8%,,2.9%,2.3%,NO,KG
3,,20.0,2 その他のもの,2.5%,,1.7%,無税,,無税,,無税,無税,,無税,無税,無税,,無税,無税,NO,KG
4,,,その他の魚（生きているものに限る。）,,,,,,,,,,,,,,,,,,
5,301.91,,ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）,,,,,,,無税,,,,,,,,,,,
6,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
7,,200.0,2 その他のもの,5%,,3.5%,,無税,1.2%,,0.6%,1.2%,1.8%,1.8%,1.8%,2.2%,1.8%,2.9%,2.9%,,KG
8,301.92,,うなぎ（アングイルラ属のもの）,,,,,,,,,,,,,,,,,,
9,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
10,,200.0,2 その他のもの,5%,,3.5%,,無税,,,,,,,,3.5%,1.8%,,,,KG
11,301.93,,こい,,,,,,,無税,,,,,,,,,,,
12,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
13,,200.0,2 その他のもの,5%,,3.5%,,無税,1.2%,,0.6%,1.2%,1.8%,1.8%,1.8%,2.2%,1.8%,2.9%,2.9%,,KG
14,301.94,,くろまぐろ（トゥヌス・ティヌス）,,,,,,,,,,,,,,,,,,
15,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
16,,900.0,2 その他のもの,5%,,3.5%,,無税,,無税,,,1.2%,,,3.5%,1.8%,,,,KG
17,301.95,,みなみまぐろ（トゥヌス・マッコイイ）,,,,,,,,,,,,,,,,,,
18,,100.0,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
19,,900.0,2 その他のもの,5%,,3.5%,,無税,,無税,,,1.2%,,,3.5%,1.8%,,,,KG
20,301.99,,その他のもの,,,,,,,,,,,,,,,,,,
21,,,1 養魚用の稚魚,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
22,,,－ ぶり（セリオーラ属のもの）,,,,,,,,,,,,,,,,,,
23,,111.0,－－ ぶり（セリオーラ・クインクエラディアータ）,,,,,,,,,,,,,,,,,,KG
24,,119.0,－－ その他のもの,,,,,,,,,,,,,,,,,,KG
25,,190.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
26,,,2 その他のもの,,,,,,,,,,,,,,,,,,
27,,210.0,(1)にしん（クルペア属のもの）、たら（ガドゥス属、テラグラ属又はメルルシウス属のもの）、ぶり（セリオーラ属のもの）、さば（スコムベル属のもの）、いわし（エトルメウス属、サルディノプス属又はエングラウリス属のもの）、あじ（トラクルス属又はデカプテルス属のもの）及びさんま（コロラビス属のもの）,10%,,,,,,,,,,,,,,,,,KG
28,,,(2)その他のもの,5%,,3.5%,,無税,,無税,,,1.2%,,,3.5%,1.8%,,,,
29,,220.0,－ひらめ（パラリクティス属のもの）,,,,,,,,,,,,,,,,,,KG
30,,290.0,－その他のもの,,,,,,,,,,,,,,,,,,KG
31,3.02,,魚（生鮮のもの及び冷蔵したものに限るものとし、第03.04項の魚のフィレその他の魚肉を除く。）,,,,,,,,,,,,,,,,,,
32,,,さけ科のもの（肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,
33,302.11,0.0,ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）,5%,,3.5%,,無税,,,,2.2%,,,,3.5%,,,,,KG
34,302.12,,太平洋さけ（オンコルヒュンクス・ネルカ、オンコルヒュンクス・ゴルブスカ、オンコルヒュンクス・ケタ、オンコルヒュンクス・トスカウィトスカ、オンコルヒュンクス・キストク、オンコルヒュンクス・マソウ及びオンコルヒュンクス・ロデュルス）、大西洋さけ（サルモ・サラル）及びドナウさけ（フコ・フコ）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,
35,,,－ 太平洋さけ（オンコルヒュンクス・ネルカ、オンコルヒュンクス・ゴルブスカ、オンコルヒュンクス・ケタ、オンコルヒュンクス・トスカウィトスカ、オンコルヒュンクス・キストク、オンコルヒュンクス・マソウ及びオンコルヒュンクス・ロデュルス）,,,,,,,,,,,,,,,,,,
36,,11.0,－－ べにざけ（オンコルヒュンクス・ネルカ）,,,,,,,,,,,,,,,,,,KG
37,,12.0,－－ ぎんざけ（オンコルヒュンクス・キストク）,,,,,,,,,2.2%,,,,,,,,,KG
38,,19.0,－－ その他のもの,,,,,,,,,,,,,,,,,,KG
39,,20.0,－ 大西洋さけ（サルモ・サラル）及びドナウさけ（フコ・フコ）,,,,,,,,,,,,,,,,,,KG
40,302.19,0.0,その他のもの,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,KG
41,,,ひらめ・かれい類（かれい科、ひらめ科、うしのした科、ささうしのした科、スコフタルミダエ科又はこけびらめ科のもの。肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,
42,302.21,0.0,ハリバット（レインハルドティウス・ヒポグロソイデス、ヒポグロスス・ヒポグロスス及びヒポグロスス・ステノレピス）,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,,2.9%,,KG
43,302.22,0.0,プレイス（プレウロネクテス・プラテスサ）,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,,2.9%,,KG
44,302.23,0.0,ソール（ソレア属のもの）,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,,2.9%,,KG
45,302.29,0.0,その他のもの,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.2%,1.8%,1.8%,1.8%,1.8%,,2.3%,,KG
46,,,まぐろ（トゥヌス属のもの）及びかつお（エウティヌス（カツオヌス）・ペラミス）（肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,
47,302.31,0.0,びんながまぐろ（トゥヌス・アラルンガ）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,KG
48,302.32,0.0,きはだまぐろ（トゥヌス・アルバカレス）,5%,,3.5%,,無税,,無税,,,,,,3.5%,1.8%,,,,KG
49,302.33,0.0,かつお,5%,,3.5%,,無税,,無税,,,,,,3.5%,1.8%,,,,KG
50,302.34,0.0,めばちまぐろ（トゥヌス・オベスス）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,KG
51,302.35,0.0,くろまぐろ（トゥヌス・ティヌス）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,KG
52,302.36,0.0,みなみまぐろ（トゥヌス・マッコイイ）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,KG
53,302.39,0.0,その他のもの,5%,,3.5%,,無税,,,,,,,,3.5%,無税,,,,KG
54,302.4,0.0,にしん（クルペア・ハレングス及びクルペア・パラスィイ。肝臓、卵及びしらこを除く。）,10%,,,,,,,,,,,,,,,,,KG
55,302.5,0.0,コッド（ガドゥス・モルア、ガドゥス・オガク及びガドゥス・マクロケファルス。肝臓、卵及びしらこを除く。）,10%,,,,,,,,,,,,,,,,,KG
56,,,その他の魚（肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,
57,302.61,,いわし（スプラトゥス・スプラトゥス、サルディナ・ピルカルドゥス及びサルディノプス属又はサルディネルラ属のもの）,,,,,,,,,,,,,,,,,,
58,,10.0,1 サルディノプス属のもの,10%,,,,,,8%,,,,,,,,,,,KG
59,,90.0,2 その他のもの,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,2.9%,2.9%,,KG
60,302.62,0.0,ハドック（メラノグランムス・アイグレフィヌス）,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,2.9%,2.9%,,KG
61,302.63,0.0,コールフィッシュ（ポルラキウス・ヴィレンス）,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,2.9%,2.9%,,KG
62,302.64,0.0,さば（スコムベル・スコムブルス、スコムベル・アウストララシクス及びスコムベル・ヤポニクス）,10%,,,,,,,,,,,,,,,,,KG
63,302.65,0.0,さめ,5%,,2.5%,,無税,無税,無税,無税,,無税,,無税,無税,無税,2.0%,無税,,KG
64,302.66,0.0,うなぎ（アングイルラ属のもの）,5%,,3.5%,,無税,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,2.9%,2.9%,,KG
65,302.67,0.0,めかじき（クスィフィアス・グラディウス）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,KG
66,302.68,0.0,めろ（ディソスティクス属のもの）,5%,,3.5%,,無税,,無税,,,,,,3.5%,無税,,,,KG
67,302.69,,その他のもの,,,,,,,,,,,,,,,,,,
68,,,1 にしん（クルペア属のもの）、たら（ガドゥス属、テラグラ属又はメルルシウス属のもの）、ぶり（セリオーラ属のもの）、さば（スコムベル属のもの）、いわし（エトルメウス属又はエングラウリス属のもの）、あじ（トラクルス属又はデカプテルス属のもの）及びさんま（コロラビス属のもの）,10%,,,,,,,,,,,,,,,,,
69,,11.0,－ ぶり,,,,,,,,,,,,,,,,,,KG
70,,19.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
71,,,2 その他のもの,5%,,,,無税,,,,,,,,,,,,,
72,,,－ バラクータ（かます科又はくろたちかます科のもの）、キングクリップ及びたい,,,2%,,,無税,無税,無税,0.7%,無税,無税,無税,無税,無税,1.6%,無税,,
73,,21.0,－－ たい,,,,,,,,,,,,,,,,,,KG
74,,29.0,－－ その他のもの,,,,,,,,,,,,,,,,,,KG
75,,,－ その他のもの,,,3.5%,,,,,,,,,,,,,,,
76,,91.0,－－ かじき（めかじきを除く。）,,,,,,,,,,,,,3.5%,,,,,KG
77,,92.0,－－ さわら,,,,,,,無税,,,,,,3.5%,無税,,,,KG
78,,93.0,－－ たちうお,,,,,,,無税,,,,,,3.5%,1.8%,,,,KG
79,,94.0,－－ ふぐ,,,,,,1.2%,無税,0.6%,1.2%,1.8%,1.8%,1.8%,2.5%,1.8%,2.9%,2.9%,,KG
80,,99.0,－－ その他のもの,,,,,,,無税,,,,,,3.5%,無税,,,,KG
81,302.7,,肝臓、卵及びしらこ,,,,,,,,,,,,,,,,,,
82,,,1 にしん（クルペア属のもの）又はたら（ガドゥス属、テラグラ属又はメルルシウス属のもの）の卵,10%,,,,,,,,,,,,,,,,,
83,,10.0,－ にしん（クルペア属のもの）の卵,,,5.6%,,無税,1.9%,無税,0.9%,1.9%,2.8%,2.8%,2.8%,4.1%,2.8%,4.6%,4.6%,,KG
84,,20.0,－ たら（ガドゥス属、テラグラ属又はメルルシウス属のもの）の卵,,,,,,,,,,,,,,,,,,KG
85,,90.0,2 その他のもの,5%,,3.5%,,無税,,無税,,,,,,3.5%,1.8%,,,,KG
86,3.03,,魚（冷凍したものに限るものとし、第03.04項の魚のフィレその他の魚肉を除く。）,,,,,,,,,,,,,,,,,,
87,,,太平洋さけ（オンコルヒュンクス・ネルカ、オンコルヒュンクス・ゴルブスカ、オンコルヒュンクス・ケタ、オンコルヒュンクス・トスカウィトスカ、オンコルヒュンクス・キストク、オンコルヒュンクス・マソウ及びオンコルヒュンクス・ロデュルス。肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,
88,303.11,0.0,べにざけ（オンコルヒュンクス・ネルカ）,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,KG
89,303.19,,その他のもの,5%,,3.5%,,無税,,,,,,,,3.5%,,,,,
90,,10.0,－ ぎんざけ（オンコルヒュンクス・キストク）,,,,,,,,,2.2%,,,,,,,,,KG
91,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
92,,,その他のさけ科のもの（肝臓、卵及びしらこを除く。）,,,,,,,,,,,,,,,,,,
93,303.21,0.0,ます（サルモ・トルタ、オンコルヒュンクス・ミキス、オンコルヒュンクス・クラルキ、オンコルヒュンクス・アグアボニタ、オンコルヒュンクス・ギラエ、オンコルヒュンクス・アパケ及びオンコルヒュンクス・クリソガステル）,5%,,3.5%,,無税,,,,2.2%,,,,3.5%,,,,,KG
